matchId,boardNumber,homePlayer,homeRating,result,awayPlayer,awayRating
1,1,Colin Moesching,1891,1-0,Claude-Alain Bonvin,1629
1,2,Fabien Tordeur,1977,1-0,Alessandro Bonalli,1621
1,3,Jorel Martin,1827,1-0,Jean-Claude Zermatten,1559
1,4,Dorian Turner,,1-0,Luc Udry,1523
1,5,Marius Jordan,1632,1-0,Timur Gökok,
1,6,Samuel Favre,1595,0-1,Aleksandar Bojkovic,
2,1,Hervé Lanois,1781,1-0,Joan Cortada Garcia,1824
2,2,Stephan Major,1797,0-1,Mazlum Tosun,1689
2,3,Christian Favre,1848,½-½,Olivier Crettenand,1826
2,4,Renzo Cerda,1744,0-1,Sandro Bétrisey,1745
2,5,Cyril Dorsaz,1819,0-1,Alexandre Briguet,1828
2,6,Michel Steiner,1803,1-0,Simon Moerschell,1663
3,1,Philippe Defferrard,1508,0-1,Michael Cardoso Rodrigues,1854
3,2,Alfred Senff,1544,0-1,Lucas Bueche,1841
3,3,Cédric Lutz,,0-1,Armando Hauser,1819
3,4,Thomas Christen,,0-1,Karel Bourban,1818
3,5,Pierre-Alain Genoud,,0-1,Alex Garfield,1786
3,6,N.N.,,0-1,Kiril Solomatin,
