matchId,boardNumber,homePlayer,homeRating,result,awayPlayer,awayRating
1,1,Luc Udry,1523,0-1,Alain Tcheau,2011
1,2,Hervé Frainay,1561,0-1,Daniel Jaquier,1871
1,3,Timur Gökok,,0-1,Joël Loba,1833
1,4,Claude-Alain Bonvin,1629,0-1,Alain Chollet,1783
1,5,Jean-Claude Zermatten,1559,½-½,Philippe Grosjean-Ritz,1821
1,6,Amaury Aubrée-Dauchez,,0-1,Marjorie Mourey,
2,1,Philippe Defferrard,1508,½-½,Alexandre Briguet,1828
2,2,Bert Jansen,,0-1,Sandro Bétrisey,1745
2,3,Charles-François Feller,1670,0-1,Mazlum Tosun,1689
2,4,Thomas Christen,,½-½,Akram Ben Salem,
2,5,Arno Jankowski,,0-1,Simon Moerschell,1663
2,6,Alfred Senff,1544,1-0,N.N.,
3,1,Jonathan Jaccard,1949,½-½,Hervé Lanois,1781
3,2,Andrea Giananti,1867,1-0,Cyril Dorsaz,1819
3,3,Patrick Goette,1764,1-0,Jean-Marie Carron,1852
3,4,Olivier Dubuis,1778,0-1,Stephan Major,1797
3,5,Paul Dumoulin,1775,1-0,Michel Steiner,1803
3,6,N.N.,,0-1,François Perruchoud,1921
4,1,Colin Moesching,1891,1-0,Lucas Bueche,1841
4,2,Fabien Tordeur,1977,1-0,Karel Bourban,1818
4,3,Dorian Turner,,½-½,Armando Hauser,1819
4,4,Michail Batsiolas,1656,1-0,Alex Garfield,1786
4,5,Marius Jordan,1632,1-0,Kiril Solomatin,
4,6,Gilles Meynet,1470,½-½,Carlo Bonferroni,1774
