matchId,boardNumber,homePlayer,homeRating,result,awayPlayer,awayRating
1,1,Ludovic Zaza,2140,0-1,Igor Yarmonov,2342
1,2,Jean-Daniel Delacroix,1938,0-1,Hansjürg Känel,2226
1,3,Alexan Floure,1913,1-0,Brian von Moos,1736
1,4,Alexandre Zaza,1957,0-1,Sandor Kaszas,2008
1,5,Jean-Paul Moret,1969,½-½,Jörg Brauchli,1915
1,6,Jacob Planchamp,1964,1-0,Thomas Mani,1949
1,7,Pierre Perruchoud,1890,½-½,Michael Weber,1898
1,8,François Perruchoud,1921,0-1,Marc Tillmann,1921
2,1,Nicolas Perréard,2033,½-½,Sylvain Julmy,2179
2,2,Stéphane Coletta,1928,0-1,Yves Deschenaux,2121
2,3,Daniel Stroppa,2182,½-½,Salvatore Cruceli,2083
2,4,Jean-Robert Vesin,2195,1-0,Vinzenz Tremp,2042
2,5,Jan Steenhuis,2057,½-½,Thierry Bonferroni,1965
2,6,Alexis ROSE,1871,½-½,Bernard Deschenaux,2002
2,7,Steve Monthoux,2013,1-0,Raphaël Perrin,1944
2,8,Cédric Grillon,1984,1-0,N.N.,
3,1,Dominique Li,2292,1-0,Pierpaolo Ranieri,1893
3,2,Laurent Geiser,2210,1-0,Ferran Rocamora Martorell,2126
3,3,Vladimir Kovacevic,2127,1-0,Gonçalo Varela Tavares,1967
3,4,Christophe Rivaud,1986,0-1,Jean-Manuel Segura,2066
3,5,Frank Souiller,1950,0-1,Guillaume Chauvon,2076
3,6,Nils Delmonico,1940,½-½,Andreas Füglistaler,1983
3,7,Jeremy Broome,1885,1-0,Jonathan Jaccard,1949
3,8,Jörg-Dieter Meyer,1869,0-1,Sébastien Vasey,1956
4,1,Christophe Sochacki,,0-1,Raphael Erne,2164
4,2,Jean-Michel Paladini,1983,0-1,Robin Voland,2057
4,3,Flavien Sola,2167,1-0,Roland Hauser,2026
4,4,Vlad Popescu,1990,1-0,Hassan Roger Sadeghi,2098
4,5,Max Chappaz,1904,½-½,Luca Srdjenovic,1882
4,6,Pierre-M. Rappaz,1933,½-½,Bertrand Banderet,1942
4,7,Jeremy Duc,1829,½-½,Jason Weber,1838
4,8,Jean-Yves Riand,1877,0-1,Jeremy Butet,1930
